date,worst_day_rank,total_daily_cost,n_xos_units,charging_event_id,vehicle_id,ev_model,arrival_local,departure_local,dwell_h,energy_needed_kwh,energy_delivered_kwh,energy_gap_kwh,status,charge_start,charge_end,charge_duration_h,soc_start_pct,soc_end_pct
2026-03-10,1,574.87,4,z2z_20260310_v01,7017123,GMC Hummer EV,08:36,09:36,1.0,116.4,76.0,40.4,partial,08:30,09:30,1.25,45.3,81.0
2026-03-10,1,574.87,4,z2z_20260310_v02,7014876,Tesla Model 3,09:45,10:45,1.0,43.3,43.3,0.0,full,09:45,10:15,0.75,47.1,100.0
2026-03-10,1,574.87,4,z2z_20260310_v03,7014797,Tesla Model 3,09:52,10:52,1.0,43.3,43.3,0.0,full,09:45,10:15,0.75,47.2,100.0
2026-03-10,1,574.87,4,z2z_20260310_v04,7010764,Ford F-150 Lightning,11:01,12:01,1.0,73.1,73.1,0.0,full,11:00,11:45,1.0,44.2,100.0
2026-03-10,1,574.87,4,z2z_20260310_v05,7015740,Chevrolet Silverado EV WT,11:01,12:01,1.0,127.0,76.0,51.0,partial,11:00,12:00,1.25,36.5,74.5
2026-03-10,1,574.87,4,z2z_20260310_v06,7005340,Rivian R1T,11:01,12:01,1.0,86.5,76.0,10.5,partial,11:00,12:00,1.25,36.0,92.3
2026-03-10,1,574.87,4,z2z_20260310_v07,7012108,GMC Hummer EV,11:47,12:47,1.0,117.4,76.0,41.4,partial,11:45,12:45,1.25,44.8,80.5
2026-03-10,1,574.87,4,z2z_20260310_v08,7017045,GMC Hummer EV,12:56,13:56,1.0,132.4,76.0,56.4,partial,12:45,13:45,1.25,37.8,73.5
2026-03-10,1,574.87,4,z2z_20260310_v09,7017044,GMC Hummer EV,13:13,14:13,1.0,119.0,76.0,43.0,partial,13:00,14:00,1.25,44.0,79.8
2026-03-10,1,574.87,4,z2z_20260310_v10,7009656,Ford F-150 Lightning,13:54,14:54,1.0,68.6,68.6,0.0,full,13:45,14:45,1.25,47.6,100.0
2026-03-10,1,574.87,4,z2z_20260310_v11,7012016,GMC Hummer EV,13:59,14:59,1.0,109.4,76.0,33.4,partial,13:45,14:45,1.25,48.6,84.3
2026-02-05,2,479.87,3,z2z_20260205_v01,7009090,Rivian R1T,05:19,06:19,1.0,88.1,76.0,12.1,partial,05:15,06:15,1.25,34.8,91.1
2026-02-05,2,479.87,3,z2z_20260205_v02,7017044,GMC Hummer EV,09:13,10:13,1.0,109.7,76.0,33.7,partial,09:00,10:00,1.25,48.4,84.1
2026-02-05,2,479.87,3,z2z_20260205_v03,256697,Freightliner eM2,09:51,10:57,97.11,164.8,164.8,0.0,full,09:45,12:00,2.5,47.7,100.0
2026-02-05,2,479.87,3,z2z_20260205_v04,7009090,Rivian R1T,10:57,11:57,1.0,75.6,75.6,0.0,full,10:45,11:45,1.25,44.0,100.0
2026-02-05,2,479.87,3,z2z_20260205_v05,7017045,GMC Hummer EV,12:09,13:40,1.51,109.5,109.5,0.0,full,12:00,13:30,1.75,48.5,100.0
2026-02-05,2,479.87,3,z2z_20260205_v06,7017044,GMC Hummer EV,13:08,14:08,1.0,107.5,76.0,31.5,partial,13:00,14:00,1.25,49.5,85.2
2026-02-05,2,479.87,3,z2z_20260205_v07,7012108,GMC Hummer EV,14:11,15:11,1.0,120.7,76.0,44.7,partial,14:00,15:00,1.25,43.2,79.0
2025-09-29,3,461.11,2,z2z_20250929_v01,7009090,Rivian R1T,05:55,06:55,1.0,109.9,76.0,33.9,partial,05:45,06:45,1.25,18.6,74.9
2025-09-29,3,461.11,2,z2z_20250929_v02,7017045,GMC Hummer EV,07:20,08:20,1.0,108.1,76.0,32.1,partial,07:15,08:15,1.25,49.2,84.9
2025-09-29,3,461.11,2,z2z_20250929_v03,7013424,Freightliner eCascadia,08:21,15:37,7.26,264.7,264.7,0.0,full,08:15,13:30,5.5,39.6,100.0
2025-09-29,3,461.11,2,z2z_20250929_v04,7017044,GMC Hummer EV,08:51,09:51,1.0,117.2,76.0,41.2,partial,08:45,09:45,1.25,44.9,80.6
2025-09-29,3,461.11,2,z2z_20250929_v05,7017044,GMC Hummer EV,11:47,12:47,1.0,107.8,76.0,31.8,partial,11:45,12:45,1.25,49.3,85.0
2025-09-29,3,461.11,2,z2z_20250929_v06,7017045,GMC Hummer EV,13:17,14:17,1.0,119.7,76.0,43.7,partial,13:15,14:15,1.25,43.7,79.5
2025-09-29,3,461.11,2,z2z_20250929_v07,7012108,GMC Hummer EV,14:31,15:31,1.0,118.7,46.6,72.1,partial,14:30,15:30,1.25,44.2,66.1
2025-09-29,3,461.11,2,z2z_20250929_v08,256697,Freightliner eM2,14:32,06:39,40.12,179.5,179.5,0.0,full,14:30,19:00,4.75,43.0,100.0
2025-08-12,4,459.27,2,z2z_20250812_v01,7009090,Rivian R1T,05:54,06:54,1.0,88.0,76.0,12.0,partial,05:45,06:45,1.25,34.8,91.1
2025-08-12,4,459.27,2,z2z_20250812_v02,7017044,GMC Hummer EV,07:14,08:14,1.0,109.5,76.0,33.5,partial,07:00,08:00,1.25,48.5,84.2
2025-08-12,4,459.27,2,z2z_20250812_v03,256697,Freightliner eM2,07:26,08:26,1.0,159.8,76.0,83.8,partial,07:15,08:15,1.25,49.3,73.4
2025-08-12,4,459.27,2,z2z_20250812_v04,7011799,Chevrolet Bolt EV,08:08,09:08,1.0,39.0,39.0,0.0,full,08:00,08:45,1.0,40.0,100.0
2025-08-12,4,459.27,2,z2z_20250812_v05,7017045,GMC Hummer EV,11:25,12:25,1.0,118.1,76.0,42.1,partial,11:15,12:15,1.25,44.5,80.2
2025-08-12,4,459.27,2,z2z_20250812_v06,7012108,GMC Hummer EV,14:26,15:26,1.0,118.0,76.0,42.0,partial,14:15,15:15,1.25,44.5,80.2
2025-08-12,4,459.27,2,z2z_20250812_v07,7009090,Rivian R1T,14:31,15:31,1.0,83.6,76.0,7.6,partial,14:30,15:30,1.25,38.1,94.4
2025-08-12,4,459.27,2,z2z_20250812_v08,7017044,GMC Hummer EV,14:40,15:40,1.0,122.3,76.0,46.3,partial,14:30,15:30,1.25,42.5,78.3
2025-08-12,4,459.27,2,z2z_20250812_v09,7013424,Freightliner eCascadia,14:46,07:13,16.46,269.2,269.2,0.0,full,14:45,20:30,6.0,38.5,100.0
2026-04-07,5,454.3,3,z2z_20260407_v01,7017123,GMC Hummer EV,05:22,06:22,1.0,137.2,76.0,61.2,partial,05:15,06:15,1.25,35.5,71.3
2026-04-07,5,454.3,3,z2z_20260407_v02,7012108,GMC Hummer EV,06:22,07:22,1.0,106.5,76.0,30.5,partial,06:15,07:15,1.25,49.9,85.7
2026-04-07,5,454.3,3,z2z_20260407_v03,7012108,GMC Hummer EV,07:59,08:59,1.0,119.2,76.0,43.2,partial,07:45,08:45,1.25,44.0,79.7
2026-04-07,5,454.3,3,z2z_20260407_v04,7010734,Ford F-150 Lightning,09:46,10:46,1.0,103.2,76.0,27.2,partial,09:45,10:45,1.25,21.2,79.3
2026-04-07,5,454.3,3,z2z_20260407_v05,7017045,GMC Hummer EV,11:24,12:24,1.0,112.6,76.0,36.6,partial,11:15,12:15,1.25,47.1,82.8
2026-04-07,5,454.3,3,z2z_20260407_v06,7017044,GMC Hummer EV,11:46,12:46,1.0,122.1,76.0,46.1,partial,11:45,12:45,1.25,42.6,78.3
2026-04-07,5,454.3,3,z2z_20260407_v07,7010734,Ford F-150 Lightning,14:12,15:12,1.0,73.9,73.9,0.0,full,14:00,15:00,1.25,43.6,100.0
2026-04-07,5,454.3,3,z2z_20260407_v08,7009656,Ford F-150 Lightning,14:20,15:20,1.0,74.2,74.2,0.0,full,14:15,15:15,1.25,43.4,100.0
2026-04-07,5,454.3,3,z2z_20260407_v09,7017045,GMC Hummer EV,14:25,15:25,1.0,107.9,76.0,31.9,partial,14:15,15:15,1.25,49.3,85.0
2026-04-07,5,454.3,3,z2z_20260407_v10,7012016,GMC Hummer EV,14:32,15:32,1.0,117.9,76.0,41.9,partial,14:30,15:30,1.25,44.6,80.3
2026-04-07,5,454.3,3,z2z_20260407_v11,7012108,GMC Hummer EV,14:33,15:33,1.0,118.4,76.0,42.4,partial,14:30,15:30,1.25,44.3,80.1
2026-03-23,6,453.86,3,z2z_20260323_v01,7017123,GMC Hummer EV,05:21,06:21,1.0,137.2,76.0,61.2,partial,05:15,06:15,1.25,35.5,71.2
2026-03-23,6,453.86,3,z2z_20260323_v02,7010734,Ford F-150 Lightning,06:49,07:49,1.0,70.4,70.4,0.1,full,06:45,07:30,1.0,46.2,100.0
2026-03-23,6,453.86,3,z2z_20260323_v03,7010734,Ford F-150 Lightning,07:28,08:28,1.0,67.9,67.9,0.0,full,07:15,08:15,1.25,48.2,100.0
2026-03-23,6,453.86,3,z2z_20260323_v04,7010734,Ford F-150 Lightning,09:31,10:31,1.0,67.9,67.9,0.0,full,09:30,10:15,1.0,48.2,100.0
2026-03-23,6,453.86,3,z2z_20260323_v05,7009656,Ford F-150 Lightning,09:51,10:51,1.0,74.1,74.1,0.0,full,09:45,10:45,1.25,43.4,100.0
2026-03-23,6,453.86,3,z2z_20260323_v06,7010734,Ford F-150 Lightning,12:23,13:23,1.0,76.6,76.0,0.6,partial,12:15,13:15,1.25,41.5,99.5
2026-03-23,6,453.86,3,z2z_20260323_v07,7017045,GMC Hummer EV,13:04,14:04,1.0,110.2,76.0,34.2,partial,13:00,14:00,1.25,48.2,83.9
2026-03-23,6,453.86,3,z2z_20260323_v08,7009656,Ford F-150 Lightning,14:26,15:31,1.09,76.0,76.0,0.0,full,14:15,15:15,1.25,42.0,100.0
2026-03-23,6,453.86,3,z2z_20260323_v09,7012108,GMC Hummer EV,14:28,15:28,1.0,118.2,76.0,42.2,partial,14:15,15:15,1.25,44.4,80.2
2026-03-23,6,453.86,3,z2z_20260323_v10,7012016,GMC Hummer EV,14:32,15:32,1.0,147.7,76.0,71.7,partial,14:30,15:30,1.25,30.6,66.3
2026-03-25,7,451.91,2,z2z_20260325_v01,7017123,GMC Hummer EV,05:25,06:25,1.0,137.1,76.0,61.1,partial,05:15,06:15,1.25,35.5,71.3
2026-03-25,7,451.91,2,z2z_20260325_v02,7015892,Chevrolet Silverado EV WT,05:51,06:51,1.0,106.1,76.0,30.1,partial,05:45,06:45,1.25,47.0,85.0
2026-03-25,7,451.91,2,z2z_20260325_v03,7009656,Ford F-150 Lightning,06:29,07:29,1.0,67.0,67.0,0.0,full,06:15,07:15,1.25,48.9,100.0
2026-03-25,7,451.91,2,z2z_20260325_v04,7012866,GMC Hummer EV,06:40,07:40,1.0,119.3,69.8,49.5,partial,06:30,07:30,1.25,43.9,76.7
2026-03-25,7,451.91,2,z2z_20260325_v05,7012108,GMC Hummer EV,06:50,07:50,1.0,115.1,76.0,39.1,partial,06:45,07:45,1.25,45.9,81.6
2026-03-25,7,451.91,2,z2z_20260325_v06,7012016,GMC Hummer EV,06:51,07:51,1.0,109.7,76.0,33.7,partial,06:45,07:45,1.25,48.4,84.2
2026-03-25,7,451.91,2,z2z_20260325_v07,7017544,GMC Hummer EV,08:29,09:29,1.0,130.9,55.2,75.8,partial,08:15,09:15,1.25,38.4,64.4
2026-03-25,7,451.91,2,z2z_20260325_v08,7015892,Chevrolet Silverado EV WT,12:22,13:22,1.0,101.1,76.0,25.1,partial,12:15,13:15,1.25,49.4,87.4
2026-03-25,7,451.91,2,z2z_20260325_v09,7012108,GMC Hummer EV,14:19,15:19,1.0,119.2,76.0,43.2,partial,14:15,15:15,1.25,44.0,79.7
2026-03-25,7,451.91,2,z2z_20260325_v10,7010734,Ford F-150 Lightning,14:25,08:13,17.8,74.7,74.7,0.0,full,14:15,15:15,1.25,43.0,100.0
2026-03-25,7,451.91,2,z2z_20260325_v11,7012016,GMC Hummer EV,14:48,15:48,1.0,124.1,76.0,48.1,partial,14:45,15:45,1.25,41.7,77.4
2026-03-25,7,451.91,2,z2z_20260325_v12,7009656,Ford F-150 Lightning,15:05,16:05,1.0,75.4,75.4,0.0,full,15:00,16:00,1.25,42.5,100.0
2026-03-19,8,430.7,3,z2z_20260319_v01,7017123,GMC Hummer EV,05:20,06:20,1.0,137.2,76.0,61.2,partial,05:15,06:15,1.25,35.5,71.2
2026-03-19,8,430.7,3,z2z_20260319_v02,7012108,GMC Hummer EV,13:07,14:07,1.0,117.9,76.0,41.9,partial,13:00,14:00,1.25,44.6,80.3
2026-03-19,8,430.7,3,z2z_20260319_v03,7012016,GMC Hummer EV,13:51,14:51,1.0,117.8,76.0,41.8,partial,13:45,14:45,1.25,44.6,80.4
2026-03-19,8,430.7,3,z2z_20260319_v04,7009656,Ford F-150 Lightning,13:56,14:56,1.0,74.1,74.1,0.0,full,13:45,14:45,1.25,43.4,100.0
2026-03-19,8,430.7,3,z2z_20260319_v05,7010734,Ford F-150 Lightning,14:07,15:07,1.0,79.8,76.0,3.8,partial,14:00,15:00,1.25,39.1,97.1
2026-03-19,8,430.7,3,z2z_20260319_v06,7012108,GMC Hummer EV,15:09,16:09,1.0,107.0,76.0,31.0,partial,15:00,16:00,1.25,49.7,85.4
2025-08-01,9,424.17,3,z2z_20250801_v01,7017044,GMC Hummer EV,07:24,08:24,1.0,114.3,76.0,38.3,partial,07:15,08:15,1.25,46.3,82.0
2025-08-01,9,424.17,3,z2z_20250801_v02,7017044,GMC Hummer EV,08:03,09:03,1.0,107.9,76.0,31.9,partial,08:00,09:00,1.25,49.3,85.0
2025-08-01,9,424.17,3,z2z_20250801_v03,7012108,GMC Hummer EV,09:44,10:44,1.0,116.9,76.0,40.9,partial,09:30,10:30,1.25,45.0,80.8
2025-08-01,9,424.17,3,z2z_20250801_v04,7017044,GMC Hummer EV,12:09,13:09,1.0,113.6,76.0,37.6,partial,12:00,13:00,1.25,46.6,82.3
2025-08-01,9,424.17,3,z2z_20250801_v05,7017044,GMC Hummer EV,12:47,13:47,1.0,107.4,76.0,31.4,partial,12:45,13:45,1.25,49.5,85.3
2025-08-01,9,424.17,3,z2z_20250801_v06,7017045,GMC Hummer EV,12:59,14:32,1.55,117.3,117.3,0.0,full,12:45,14:30,2.0,44.8,100.0
2025-08-01,9,424.17,3,z2z_20250801_v07,7012108,GMC Hummer EV,13:10,14:10,1.0,120.6,76.0,44.6,partial,13:00,14:00,1.25,43.3,79.1
2025-07-09,10,422.89,2,z2z_20250709_v01,7015703,Chevrolet Silverado EV WT,09:58,10:58,1.0,104.3,76.0,28.3,partial,09:45,10:45,1.25,47.9,85.9
2025-07-09,10,422.89,2,z2z_20250709_v02,7014794,Tesla Model 3,10:08,11:08,1.0,43.5,43.5,0.0,full,10:00,10:30,0.75,46.9,100.0
2025-07-09,10,422.89,2,z2z_20250709_v03,7014880,Tesla Model 3,10:08,11:08,1.0,43.4,43.4,0.0,full,10:00,10:30,0.75,47.0,100.0
2025-07-09,10,422.89,2,z2z_20250709_v04,7012108,GMC Hummer EV,13:19,14:54,1.58,117.2,117.2,0.0,full,13:15,14:45,1.75,44.9,100.0
2025-07-09,10,422.89,2,z2z_20250709_v05,7013424,Freightliner eCascadia,13:37,07:12,113.59,260.6,260.6,0.0,full,13:30,18:45,5.5,40.5,100.0
2025-07-09,10,422.89,2,z2z_20250709_v06,7017044,GMC Hummer EV,13:56,14:56,1.0,130.7,76.0,54.7,partial,13:45,14:45,1.25,38.5,74.3
